Filename,Table name [should match with redivis],Description,URL,Reference,DOI,Original License,Public Reshare?,Derived License,Notes,Contributor,Date
gilbert_meta_44,gilbert_meta_44,Mental health in an RCT,https://researchdata.cuhk.edu.hk/dataset.xhtml?persistentId=doi:10.48668/14WHSL,https://onlinelibrary.wiley.com/doi/abs/10.1002/gps.5616,10.1002/gps.5616,CC BY-NC 4.0,Public,CC BY-NC 4.0,,josh,9-12-2024
Bateman, Marjorie, 2023, ""STOPTHEBURN Randomized Controlled Trial Data"", https://doi.org/10.7910/DVN/DIU6BU, Harvard Dataverse, V1",10.7910/DVN/DIU6BU,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
gilbert_meta_46,gilbert_meta_46,Language in an RCT,https://osf.io/4p8hz/?view_only=,https://peerj.com/articles/15499/,10.17605/OSF.IO/4P8HZ,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
gilbert_meta_47,gilbert_meta_47,Math in an RCT,https://osf.io/4p8hz/?view_only=,https://peerj.com/articles/15499/,10.17605/OSF.IO/4P8HZ,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
Cárdenas, Sergio; Evans, David K., 2023, ""Replication Data for: Parent Training and Child Development at Low Cost? Evidence from a Randomized Field Experiment in Mexico"", https://doi.org/10.7910/DVN/3SF36J, Harvard Dataverse, V1, UNF:6:ELq4mFwQ5WEbcqa/pVTTcQ== [fileUNF]",10.7910/DVN/3SF36J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
gilbert_meta_49,gilbert_meta_49,Psychological Distress (SRQ-20) in an RCT,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/F8SJBV,https://trialsjournal.biomedcentral.com/articles/10.1186/s13063-017-2299-3,10.1186/s13063-017-2299-3,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
Sylvia, Sean, 2019, ""Replication Data for: ""Using community health workers to deliver a scalable integrated parenting program in rural China: A cluster-randomized controlled trial"""", https://doi.org/10.7910/DVN/XBGUUL, Harvard Dataverse, V1, UNF:6:td3g6/8ll+JxfvV+pem3lA== [fileUNF]",10.7910/DVN/XBGUUL,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Sylvia, Sean, 2019, ""Replication Data for: ""Using community health workers to deliver a scalable integrated parenting program in rural China: A cluster-randomized controlled trial"""", https://doi.org/10.7910/DVN/XBGUUL, Harvard Dataverse, V1, UNF:6:td3g6/8ll+JxfvV+pem3lA== [fileUNF]",10.7910/DVN/XBGUUL,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
gilbert_meta_52,gilbert_meta_52,COVID symptons in an RCT,https://zenodo.org/records/5703876,https://doi.org/10.1126/science.abi9069,10.1126/science.abi9069,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
Raj, Aparna; Dixit, Anvita; Saha, Ananya; Shankar, Lalita; Howard, Susan; Battala, Madhusudana; Khan, Nizamuddin; Saggurti, Niranjan, 2024, ""Go Nisha Go Randomized Controlled Trial (R4S study #1.11)"", https://doi.org/10.7910/DVN/0TS1LX, Harvard Dataverse, V1, UNF:6:hoNbY3jVad2x1yxVowFamA== [fileUNF]",10.7910/DVN/0TS1LX,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Raj, Aparna; Dixit, Anvita; Saha, Ananya; Shankar, Lalita; Howard, Susan; Battala, Madhusudana; Khan, Nizamuddin; Saggurti, Niranjan, 2024, ""Go Nisha Go Randomized Controlled Trial (R4S study #1.11)"", https://doi.org/10.7910/DVN/0TS1LX, Harvard Dataverse, V1, UNF:6:hoNbY3jVad2x1yxVowFamA== [fileUNF]",10.7910/DVN/0TS1LX,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Wang, Liang Choon; Vlassopoulos, Michael; Islam, Asad; Hassan, Hashibul, 2024, ""Replication Data for: ""Delivering Remote Learning Using a Low-tech Solution: Evidence from a Randomized Controlled Trial in Bangladesh"""", https://doi.org/10.7910/DVN/GB61G4, Harvard Dataverse, V1, UNF:6:5atNk5pGBx6Kp0cFm40ZlQ== [fileUNF]",10.7910/DVN/GB61G4,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Sebele, Michael; McManus, Jeffery; Rudasingwa, Mico, 2023, ""Replication Data for: Improving reading proficiency in early childhood education classrooms, Evidence from Liberia"", https://doi.org/10.7910/DVN/ZSRO4X, Harvard Dataverse, V1, UNF:6:9noRP6CDtDIYblAyUBX+7A== [fileUNF]",10.7910/DVN/ZSRO4X,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
John Gallis; Kate Sanborn; Elizabeth Turner, 2024, ""Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years"", https://doi.org/10.7910/DVN/IJE2PC, Harvard Dataverse, V1, UNF:6:U0IAdDMyTiu9YZU+M6Z6kw== [fileUNF]",10.7910/DVN/IJE2PC,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
John Gallis; Kate Sanborn; Elizabeth Turner, 2024, ""Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years"", https://doi.org/10.7910/DVN/IJE2PC, Harvard Dataverse, V1, UNF:6:U0IAdDMyTiu9YZU+M6Z6kw== [fileUNF]",10.7910/DVN/IJE2PC,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
John Gallis; Kate Sanborn; Elizabeth Turner, 2024, ""Bachpan Study of Maternal Depression and Child Development: Data from the First Three Years"", https://doi.org/10.7910/DVN/IJE2PC, Harvard Dataverse, V1, UNF:6:U0IAdDMyTiu9YZU+M6Z6kw== [fileUNF]",10.7910/DVN/IJE2PC,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Zhou, Yang-Yang; Lyall, Jason; Imai, Kosuke, 2019, ""Replication Data for: Can Economic Assistance Shape Combatant Support in Wartime? Experimental Evidence from Afghanistan"", https://doi.org/10.7910/DVN/AQHPTT, Harvard Dataverse, V1",10.7910/DVN/AQHPTT,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Zhou, Yang-Yang; Lyall, Jason; Imai, Kosuke, 2019, ""Replication Data for: Can Economic Assistance Shape Combatant Support in Wartime? Experimental Evidence from Afghanistan"", https://doi.org/10.7910/DVN/AQHPTT, Harvard Dataverse, V1",10.7910/DVN/AQHPTT,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Wilson-Barthes, Marta; Jon Steingrimsson; Youjin Lee; Dan N Tran; Juddy Wachira; Catherine Kafu; Sonak D Pastakia; Rajesh Vedanthan; Jamil Alarik Said; Becky L Genberg; Omar Galarraga, 2024, ""Economic Outcomes Among Microfinance Group Members Receiving Community-based Chronic Disease Care: Cluster Randomized Trial Evidence From Kenya"", https://doi.org/10.7910/DVN/SLUA08, Harvard Dataverse, V5, UNF:6:xiUNCRyFbYO4Aw2ZjDzawA== [fileUNF]",10.7910/DVN/SLUA08,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Datta, Upamanyu; Rao, Vijayendra, 2018, ""Jeevika Livelihoods Project Phase 2 Evaluation (RCT), Bihar, India - Baseline and Endline Household And Village Data 2011-2014"", https://doi.org/10.7910/DVN/6PAHVM, Harvard Dataverse, V1, UNF:6:3gYkrCWUL5FVEpKCSMQXaA== [fileUNF]",10.7910/DVN/6PAHVM,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Zhao, Vicky Yiran; Hilgendorf, Dennis; Yoshikawa, Hirokazu; Michael, Duja, 2024, ""Replication Data for: Impacts of Ahlan Simsim TV Program in Pre-Primary Classrooms in Jordan on Children’s Emotional Development: A Randomized Controlled Trial"", https://doi.org/10.7910/DVN/YTLX91, Harvard Dataverse, V1",10.7910/DVN/YTLX91,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
gilbert_meta_65,gilbert_meta_65,Mental health literacy in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,10.1016/j.mhp.2023.200259,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
gilbert_meta_66,gilbert_meta_66,General Help Seeking Questionnaire (GHSQ) in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,10.1016/j.mhp.2023.200259,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
gilbert_meta_67,gilbert_meta_67,Mental Health Stigma in an RCT,https://bridges.monash.edu/articles/dataset/Data_File_A_Cluster-Randomised_Controlled_Trial_of_a_Mental_Health_Literacy_Program_for_Community_Sport_Leaders/20422257/1?file=36520497,https://www.sciencedirect.com/science/article/pii/S2212657023000016?via%3Dihub,10.1016/j.mhp.2023.200259,CC BY 4.0,Public,CC BY 4.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
Banerjee, Abhijit; Banerji, Rukmini; Duflo, Esther; Kannan, Harini; Mukerji, Shobhini; Shotland, Marc; Berry, James; Walton, Michael, 2017, ""Raw and Replication Data for: 'From Proof of Concept to Scalable Policies' and 'Mainstreaming an Effective Intervention'"", https://doi.org/10.7910/DVN/DUBA3J, Harvard Dataverse, V7, UNF:6:6Ch1ala9EZ8xITxlcjRckg== [fileUNF]",10.7910/DVN/DUBA3J,CC0 1.0,Public,CC0 1.0,,josh,9-12-2024
BPAQ_Christopher_2024_BPAQSF,bpaq_christopher_2024_bpaqsf,Buss–Perry Aggression Questionnaire amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_FFMQSF,bpaq_christopher_2024_ffmqsf,Five Facet Mindfulness Questionnaire amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_OBSI,bpaq_christopher_2024_obsi,Oldenburg Burnout Inventory amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_PCL5,bpaq_christopher_2024_pcl5,PTSD Checklist for DSM-5 amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_PROMIS,bpaq_christopher_2024_promis,"Patient Reported Outcomes Measurement Information System (PROMIS® v1.0) short form versions for sleep disturbance, alcohol use, and anger amongst police officers.",https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_SCSS,bpaq_christopher_2024_scss,Self-Compassion Scale-short form amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
BPAQ_Christopher_2024_PSS10,bpaq_christopher_2024_pss10,Perceived stress scale amongst police officers,https://osf.io/bskn9/,"Christopher, M., Ferry, M., Simmons, A., Vasquez, A., Reynolds, B., & Grupe, D. (2024). Psychometric properties of the Buss–Perry Aggression Questionnaire‐short form among law enforcement officers. Aggressive behavior, 50(2), e22145.",10.1002/ab.22145,,Public,CC BY 4.0,email permission 11-1-2024,,
HEARD_Roch_2022_COPE,heard_roch_2022_cope,Coping scale asked of refugees,https://osf.io/4xzr8/,"Le Roch, K., Bubendorff, P., Rahaman, K. S., Clouin, L., Lasater, M., Tonon, B., … Nguyen, A. (2024, May 15). Supervision and training to support implementation of a flexible psychosocial support program for refugee mothers and babies: A case study of Baby Friendly Spaces in Cox’s Bazar, Bangladesh. https://doi.org/10.31219/osf.io/vq3ty",10.31219/osf.io/vq3ty,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
HEARD_Roch_2022_IDSS,heard_roch_2022_idss,International Depression Symptom Scale (IDSS) asked of refugees,https://osf.io/4xzr8/,"Le Roch, K., Bubendorff, P., Rahaman, K. S., Clouin, L., Lasater, M., Tonon, B., … Nguyen, A. (2024, May 15). Supervision and training to support implementation of a flexible psychosocial support program for refugee mothers and babies: A case study of Baby Friendly Spaces in Cox’s Bazar, Bangladesh. https://doi.org/10.31219/osf.io/vq3ty",10.31219/osf.io/vq3ty,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
HEARD_Roch_2022_K6,heard_roch_2022_k6,KESS depression scale in last 2 weeks asked of refugees,https://osf.io/4xzr8/,"Le Roch, K., Bubendorff, P., Rahaman, K. S., Clouin, L., Lasater, M., Tonon, B., … Nguyen, A. (2024, May 15). Supervision and training to support implementation of a flexible psychosocial support program for refugee mothers and babies: A case study of Baby Friendly Spaces in Cox’s Bazar, Bangladesh. https://doi.org/10.31219/osf.io/vq3ty",10.31219/osf.io/vq3ty,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
HEARD_Roch_2022_SWLPWI,heard_roch_2022_swlpwi,Life satisfaction asked of refugees,https://osf.io/4xzr8/,"Le Roch, K., Bubendorff, P., Rahaman, K. S., Clouin, L., Lasater, M., Tonon, B., … Nguyen, A. (2024, May 15). Supervision and training to support implementation of a flexible psychosocial support program for refugee mothers and babies: A case study of Baby Friendly Spaces in Cox’s Bazar, Bangladesh. https://doi.org/10.31219/osf.io/vq3ty",10.31219/osf.io/vq3ty,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
HEARD_Roch_2022_WHODAS,heard_roch_2022_whodas,Difficulties due to health conditions asked of refugees,https://osf.io/4xzr8/,"Le Roch, K., Bubendorff, P., Rahaman, K. S., Clouin, L., Lasater, M., Tonon, B., … Nguyen, A. (2024, May 15). Supervision and training to support implementation of a flexible psychosocial support program for refugee mothers and babies: A case study of Baby Friendly Spaces in Cox’s Bazar, Bangladesh. https://doi.org/10.31219/osf.io/vq3ty",10.31219/osf.io/vq3ty,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
WMD_bartczuk_2023,wmd_bartczuk_2023,Polish work moral disengagement scale,https://osf.io/rxb5y/,"Bartczuk, R. P., & Zarzycka, B. (2023, June 6). Moral Disengagement in the Workplace: Validity and Psychometric Properties of the Polish Work Moral Disengagement Scale. https://doi.org/10.31234/osf.io/rgy4a",10.31234/osf.io/rgy4a,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-17-2024
LSHS-E_Quidaja_2022,lshs-e_quidaja_2022,Online and paper forms of the Launay-Slade Hallucinations scale,https://osf.io/4jb6k/,"Quijada, Y., Saldivia, S., Bustos, C. et al. Measurement invariance between online and paper-and-pencil formats of the Launay-Slade Hallucinations scale-extended (LSHS-E) in the Chilean population. Curr Psychol 42, 13625–13636 (2023). https://doi.org/10.1007/s12144-021-02497-7",10.1007/s12144-021-02497-7,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-18-2024
SAS_Deters_2022,sas_deters_2022,Schizotypal Ambivalence Scale (SAS),https://osf.io/ztycp/,"Deters, L. B., Silvia, P. J., & Kwapil, T. R. (2022). The Schizotypal Ambivalence Scale: An Item Response Theory Analysis. Behavioral Sciences, 12(8), 247.",10.3390/bs12080247,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-18-2024
Aspirations_Sonmez_2022,aspirations_sonmez_2022,Turkish version of the Aspiration Index,https://osf.io/psgk8/,"Sonmez, F. (2023). Psychometric properties of the Turkish version of the Aspiration Index and the relationship between aspirations and subjective well-being. International Journal of Happiness and Development, 8(1), 28-43.",10.1504/IJHD.2023.10055261,,Public,CC BY 4.0 ,Permission via email 9-17-2024 (fsonmez.phd@gmail.com),arthur,9-18-2024
dumas_Organisciak_2022,dumas_organisciak_2022,Human ratings of a divergent thinking measure,https://osf.io/qcmex/,"Dumas, D., Organisciak, P., & Doherty, M. (2021). Measuring divergent thinking originality with human raters and text-mining models: A psychometric comparison of methods. Psychology of Aesthetics, Creativity, and the Arts, 15(4), 645.",10.1037/aca0000319,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-18-2024
BSCS_fadplus_goto2021,bscs_fadplus_goto2021,Brief self-control scale,https://osf.io/2xbe5/?view_only=,"Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.",10.3389/fpsyg.2021.720601,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
FAD_fadplus_goto2021,fad_fadplus_goto2021,Free will and determinism scale,https://osf.io/2xbe5/?view_only=,"Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.",10.3389/fpsyg.2021.720601,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
GBJW_fadplus_goto2021,gbjw_fadplus_goto2021,Globa belief in a just world scale,https://osf.io/2xbe5/?view_only=,"Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.",10.3389/fpsyg.2021.720601,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
LOC_fadplus_goto2021,loc_fadplus_goto2021,Locus of control scale,https://osf.io/2xbe5/?view_only=,"Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.",10.3389/fpsyg.2021.720601,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
Rosenberg_fadplus_goto2021,rosenberg_fadplus_goto2021,Rosenberg Self-Esteem Scale,https://osf.io/2xbe5/?view_only=,"Goto, T. (2021). Comparing the Psychometric Properties of Two Japanese-Translated Scales of the Free Will and Determinism-Plus Scale. Frontiers in Psychology, 12, 720601.",10.3389/fpsyg.2021.720601,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
sris_silvia2022,sris_silvia2022,self-reflection and insight scale,https://osf.io/qsa5w/,"Silvia, P. J. (2022). The self-reflection and insight scale: Applying item response theory to craft an efficient short form. Current Psychology, 41(12), 8635-8645.",10.1007/s12144-020-01299-7,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,bd,9-18-2024
papp_silva-martins2023,papp_silva-martins2023,Physical activity parenting parentics scale,https://osf.io/qctuh/,"Silva-Martins, M., Canário, A. C., Abreu-Lima, I., Krasniqi, L., & Cruz, O. (2023). Psychometric properties of the Portuguese version of the physical activity parenting practices questionnaire. BMC psychology, 11(1), 417.",10.1186/s40359-023-01444-4,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,bd,9-18-2024
CBI_Rodriguez_2021,cbi_rodriguez_2021,Brief form of creative behavior inventory,https://osf.io/h6vj4/,"Rodriguez, R. M., Silvia, P. J., Kaufman, J. C., Reiter-Palmon, R., & Puryear, J. S. (2023). Taking inventory of the creative behavior inventory: An item response theory analysis of the CBI. Creativity Research Journal, 35(2), 143-153.",10.1080/10400419.2023.2183322,CC-By Attribution 4.0 International ,Public,CC-By Attribution 4.0 International ,,arthur,9-19-2024
PTCI_Chinese_Zhan_2024,ptci_chinese_zhan_2024,Posttraumatic Cognitions Inventory in Chinese respondents,https://osf.io/tj8rh/,"Zhan, N., Gao, C., Cao, Y., Li, F., & Geng, F. (2024). Factor structure, measurement invariance, and psychometric properties of the Posttraumatic Cognitions Inventory (PTCI) and its brief version (PTCI-9) in Chinese adolescents and adults. Psychological Assessment.",10.1037/pas0001309,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-19-2024
VCISM_Polish_Trzcinska_2023,vcism_polish_trzcinska_2023,Preschool Implicit Association Test,https://osf.io/k2qew/,https://doi.org/10.17605/OSF.IO/K2QEW,10.17605/OSF.IO/K2QEW,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-21-2024
PTAM_Kretzschmar_2017_MicroFIN,ptam_kretzschmar_2017_microfin,MicroFIN battery of comlex reasoning tasks from Latvian high school students,https://osf.io/wp3z4/,"Kretzschmar, A., Hacatrjana, L., & Rascevska, M. (2017). Re-evaluating the psychometric properties of MicroFIN: A multidimensional measurement of complex problem solving or a unidimensional reasoning test?. Psychological Test and Assessment Modeling, 59(2), 157-182.",,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-22-2024
PTAM_Kretzschmar_2017_Reasoning,ptam_kretzschmar_2017_reasoning,Quantitative and verbal reasoning tasks from Latvian high school students,https://osf.io/wp3z4/,"Kretzschmar, A., Hacatrjana, L., & Rascevska, M. (2017). Re-evaluating the psychometric properties of MicroFIN: A multidimensional measurement of complex problem solving or a unidimensional reasoning test?. Psychological Test and Assessment Modeling, 59(2), 157-182.",,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-22-2024
PTAM_Kretzschmar_2017_Raven,ptam_kretzschmar_2017_raven,Ravens tasks from Latvian high school students,https://osf.io/wp3z4/,"Kretzschmar, A., Hacatrjana, L., & Rascevska, M. (2017). Re-evaluating the psychometric properties of MicroFIN: A multidimensional measurement of complex problem solving or a unidimensional reasoning test?. Psychological Test and Assessment Modeling, 59(2), 157-182.",,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur,9-22-2024
FEDSP_Trzcinska_2023_MonKnow,fedsp_trzcinska_2023_monknow,Money knowledge amongst children,https://osf.io/sa87b/,"Podsiadłowski, W., Trzcińska, A., Golus, P., & Wieleszczyk, J. (2024). Family economic deprivation and self-esteem among preschoolers. Journal of Experimental Child Psychology, 246, 106013.",10.1016/j.jecp.2024.106013,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur 9-23-2024,arthur 9-23-2024
FEDSP_Trzcinska_2023_PRD,fedsp_trzcinska_2023_prd,Relative deprevation amongst children,https://osf.io/sa87b/,"Podsiadłowski, W., Trzcińska, A., Golus, P., & Wieleszczyk, J. (2024). Family economic deprivation and self-esteem among preschoolers. Journal of Experimental Child Psychology, 246, 106013.",10.1016/j.jecp.2024.106013,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur 9-23-2024,arthur 9-23-2024
FEDSP_Trzcinska_2023_PSPCSA,fedsp_trzcinska_2023_pspcsa,Self-esteem amongst children,https://osf.io/sa87b/,"Podsiadłowski, W., Trzcińska, A., Golus, P., & Wieleszczyk, J. (2024). Family economic deprivation and self-esteem among preschoolers. Journal of Experimental Child Psychology, 246, 106013.",10.1016/j.jecp.2024.106013,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur 9-23-2024,arthur 9-23-2024
FEDSP_Trzcinska_2023_SMSD,fedsp_trzcinska_2023_smsd,Material and social deprevation amongst children,https://osf.io/sa87b/,"Podsiadłowski, W., Trzcińska, A., Golus, P., & Wieleszczyk, J. (2024). Family economic deprivation and self-esteem among preschoolers. Journal of Experimental Child Psychology, 246, 106013.",10.1016/j.jecp.2024.106013,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur 9-23-2024,arthur 9-23-2024
CPDMMC_Kunnari_2020_HCD,cpdmmc_kunnari_2020_hcd,High-conflict Dilemmas,https://osf.io/vmy4q/,"Kunnari, A., Sundvall, J. R., & Laakasuo, M. (2020). Challenges in process dissociation measures for moral cognition. Frontiers in Psychology, 11, 559934.",10.3389/fpsyg.2020.559934,CC-By Attribution 4.0 International,Public,CC-By Attribution 4.0 International,,arthur 9-23-2024,9-23-2024
